,model,resolution,volume,voxels,overhangs,unsupported,outside,surface
0,chinese_lion.ply,low,700000.0000000006,1854,805,6,1247,1672
1,chinese_lion.ply,medium,7000000.000000004,14553,8988,35,5877,13779
2,chinese_lion.ply,high,69999999.99999993,127731,88105,118,26397,124477
3,buste.ply,low,700000.0000000002,1793,1001,13,1158,1684
4,buste.ply,medium,7000000.000000001,14207,8616,32,5304,13667
5,buste.ply,high,70000000.00000004,126883,78681,67,24818,124452
6,pierrot100k.ply,low,700000.0000000005,1663,224,5,954,1490
7,pierrot100k.ply,medium,6999999.999999997,13728,2537,12,4330,13035
8,pierrot100k.ply,high,69999999.99999997,124444,28682,21,20291,121988
9,elephant.ply,low,700000.0,1968,1559,13,1373,1847
10,elephant.ply,medium,6999999.999999996,14871,12741,11,6419,14402
11,elephant.ply,high,69999999.99999997,129580,113585,50,30067,127590
12,dragonstand_recon100K.ply,low,700000.0000000001,2159,709,20,1697,1966
13,dragonstand_recon100K.ply,medium,7000000.000000005,15615,7929,51,7785,15023
14,dragonstand_recon100K.ply,high,69999999.99999994,132843,89045,80,36349,130856
15,david.ply,low,700000.0000000005,1664,740,6,938,1558
16,david.ply,medium,6999999.999999996,13767,7389,25,4438,13322
17,david.ply,high,70000000.0,124447,78641,71,20895,123253
18,CoverSlipCleaningHolder2b.ply,low,700000.0,3217,2311,58,3149,2955
19,CoverSlipCleaningHolder2b.ply,medium,7000000.0,20919,15713,63,16742,19254
20,CoverSlipCleaningHolder2b.ply,high,69999999.99999997,157075,142408,50,78385,145506
21,rabbit5k.ply,low,700000.0000000005,1846,1159,9,1227,1762
22,rabbit5k.ply,medium,6999999.9999999935,14418,11386,11,5636,14158
23,rabbit5k.ply,high,70000000.0,127319,109637,36,25969,126417
24,buddha.ply,low,700000.0000000001,1667,84,3,955,1499
25,buddha.ply,medium,7000000.000000007,13802,996,13,4512,13020
26,buddha.ply,high,69999999.99999999,125218,12060,79,21299,121554
27,bamboo_pen.ply,low,700000.0000000006,2289,597,47,1935,1791
28,bamboo_pen.ply,medium,7000000.000000004,16657,4517,131,9237,14487
29,bamboo_pen.ply,high,69999999.99999996,137064,38922,320,43590,127181
30,bimba.ply,low,700000.0000000001,1721,513,5,1030,1515
31,bimba.ply,medium,7000000.000000007,13891,5047,9,4729,13038
32,bimba.ply,high,70000000.0,125511,48375,34,22047,121715
33,dancing_children100K.ply,low,700000.0000000001,2257,1428,33,1903,1963
34,dancing_children100K.ply,medium,7000000.000000007,16373,11972,52,9181,15054
35,dancing_children100K.ply,high,70000000.0,136838,106014,102,42943,130922
36,indorelax.ply,low,700000.0000000002,2059,1008,9,1524,1880
37,indorelax.ply,medium,7000000.0,15279,8881,17,7050,14629
38,indorelax.ply,high,69999999.99999997,131155,85723,30,32737,128677
39,ramses.ply,low,700000.0000000001,1762,255,3,1133,1543
40,ramses.ply,medium,7000000.000000005,14398,2716,16,5449,13386
41,ramses.ply,high,69999999.99999997,127436,23907,33,25224,122729
42,camel-tri.ply,low,699999.9999999998,1946,1682,23,1332,1827
43,camel-tri.ply,medium,7000000.000000001,14930,14141,20,6297,14297
44,camel-tri.ply,high,70000000.00000006,129149,125644,55,28999,126215
45,armchair.ply,low,700000.0000000001,1928,723,1,1364,1637
46,armchair.ply,medium,7000000.000000007,14664,6243,5,6312,13801
47,armchair.ply,high,69999999.99999997,128648,79187,11,29183,125714
48,cactus.ply,low,700000.0000000002,1879,608,2,1231,1776
49,cactus.ply,medium,6999999.999999997,14477,6110,9,5648,14009
50,cactus.ply,high,69999999.99999997,127509,65766,34,26255,125440
51,blockLP.ply,low,700000.0,1724,1224,1,1130,1642
52,blockLP.ply,medium,6999999.999999997,14878,10930,1,5684,14465
53,blockLP.ply,high,69999999.99999997,128060,92723,15,25423,126076
54,lion_head.ply,low,700000.0,1709,317,20,1008,1554
55,lion_head.ply,medium,6999999.999999998,13964,3475,38,4867,13320
56,lion_head.ply,high,69999999.99999994,125903,34669,145,23282,122994
57,3_holes.ply,low,700000.0,1799,685,0,1101,1761
58,3_holes.ply,medium,6999999.999999998,13973,9171,19,5024,13619
59,3_holes.ply,high,69999999.99999994,126118,109880,14,23455,124880
60,kitten.ply,low,700000.0,1704,974,2,993,1587
61,kitten.ply,medium,6999999.999999996,13843,8985,9,4574,13377
62,kitten.ply,high,69999999.99999997,124863,86617,26,21152,122919
63,greek_sculpture.ply,low,700000.0000000002,1987,671,15,1469,1725
64,greek_sculpture.ply,medium,6999999.999999998,15304,7197,40,7192,14195
65,greek_sculpture.ply,high,69999999.99999997,131541,66983,174,33900,127078
